205;330;0.116
205;345;0.113
205;360;0.11
205;375;0.107
205;390;0.104
205;405;0.101
205;420;0.098
205;435;0.096
205;450;0.093
205;465;0.09
205;480;0.088
205;495;0.085
205;510;0.083
205;525;0.08
215;150;0.166
215;165;0.16
215;180;0.154
215;195;0.149
215;210;0.145
215;225;0.142
215;240;0.138
215;255;0.134
215;270;0.131
215;285;0.127
215;300;0.124
215;315;0.121
215;330;0.117
215;345;0.114
215;360;0.111
215;375;0.108
215;390;0.105
215;405;0.102
215;420;0.099
215;435;0.096
215;450;0.094
215;465;0.091
215;480;0.088
215;495;0.086
215;510;0.083
215;525;0.081
225;150;0.168
225;165;0.161
225;180;0.156
225;195;0.151
225;210;0.147
225;225;0.143
225;240;0.139
225;255;0.136
225;270;0.132
225;285;0.129
225;300;0.125
225;315;0.122
225;330;0.118
225;345;0.115
225;360;0.112
225;375;0.109
225;390;0.106
225;405;0.103
225;420;0.1
225;435;0.097
225;450;0.094
225;465;0.092
225;480;0.089
225;495;0.086
225;510;0.084
225;525;0.081
235;150;0.169
235;165;0.163
235;180;0.157
235;195;0.153
235;210;0.149
235;225;0.145
235;240;0.141
235;255;0.137
235;270;0.134
235;285;0.13
235;300;0.126
235;315;0.123
235;330;0.12
235;345;0.116
235;360;0.113
235;375;0.11
235;390;0.107
235;405;0.104
235;420;0.101
235;435;0.098
235;450;0.095
235;465;0.092
235;480;0.09
235;495;0.087
235;510;0.085
235;525;0.082
245;150;0.171
245;165;0.164
245;180;0.159
245;195;0.155
245;210;0.15
245;225;0.146
245;240;0.142
245;255;0.139
245;270;0.135
245;285;0.131
245;300;0.128
245;315;0.124
245;330;0.121
245;345;0.117
245;360;0.114
245;375;0.111
245;390;0.108
245;405;0.104
245;420;0.101
245;435;0.099
245;450;0.096
245;465;0.093
245;480;0.09
245;495;0.088
245;510;0.085
245;525;0.083
255;150;0.172
255;165;0.166
255;180;0.161
255;195;0.156
255;210;0.152
255;225;0.148
255;240;0.144
